,Name,Institution(s),Country/Territory,Researcher ID,Keywords,Other Names
University of Massachusetts - Amherst ; King Abdulaziz University  ,United States ,O-1666-2013,"lipids, oxidation, antioxidant, food  ",
913,Ashokkumar Muthupandian   ,,,
"University of Melbourne ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Australia ,B-1739-2013,"physical chemistry, sonochemistry, ultrasound technology, food processing, protein microspheres, synthesis of bio and nano materials, photocatalysis, sonophotocatalysis, sonoluminescence  ",Ashok  
914,Zhu Ji   ,,,
University of Michigan - Ann Arbor ; King Abdulaziz University  ,United States ,A-2195-2012,,
915,Zou Hui   ,,,
"University of Minnesota ; King Abdulaziz University, Saudi Arabia  ",United States ,B-7023-2014,,
916,John George   ,,,
"University of Minnesota - Twin Cities ; King Abdulaziz University, KAU  ",United States ,G-1876-2011,"marketing, channels of distribution  ","John, George, John, G  "
917,Budowle Bruce   ,,,
"University of North Texas Health Science Center ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,C-1541-2013,,
918,Judge Timothy   ,,,
"University of Notre Dame ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,C-8250-2013,,
919,Stojmenovic Ivan   ,,,
"University of Ottawa, Canada ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Canada ,C-8360-2013,"algorithms, wireless networks, parallel and distributed systems, discrete geometry  ",
920,Aggelis George   ,,,
University of Patras ; King Abdulaziz University  ,Greece ,E-9403-2011,"single cell oil, polyunsaturated fatty acids, yeasts, fungi, microalgae  ",
921,PAPADIMITRIOU STRATOS   ,,,
"University of Piraeus ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Greece ,C-5256-2013,,
922,Ferreira Antonio  ,,,
University of Porto ; King Abdulaziz University KAU  ,Portugal ,B-4149-2013,,
923,Elliot Andrew   ,,,
University of Rochester ; King Abdulaziz University  ,United States ,D-1546-2013,,"Elliot, A. J.  "
924,Yu Shu-Hong   ,,,
"University of Science and Technology of China ; King Abdulaziz University, Jeddah, Saudi Arabia  ",China ,A-1903-2010,"nanochemistry, materials chemistry, inorganic chemistry, biomaterials  ",
925,Benchohra Mouffak   ,,,
University of Sidi Bel Abbes ; King Abdulaziz University (Distinguished Adjunct Professor)  ,Algeria ,B-5618-2014,differential equations  ,
926,Uversky Vladimir   ,,,
University of South Florida College of Medicine ; King Abdulaziz University  ,United States ,F-4515-2011,,
927,Gale Philip   ,,,
University of Southampton ; King Abdulaziz University  ,United Kingdom ,A-7252-2008,"supramolecular chemistry, anion binding, hydrogen bond, molecular recognition, sensors, separations, membrane transport  ",
928,Hursthouse Michael   ,,,
"University of Southampton ; King Abdulaziz University, Faculty of Science, KAU  ",United Kingdom ,B-9885-2011,"chemical crystallography, organic solid forms, crystal engineering, structural inorganic chemistry, polymorphism, solvates, salts, structure-property relationships, molecular complexes  ",Mike  
929,Jennings Nicholas   ,,,
